timestamp,compressor,dataset,ratio,n_examples,em,f1,duration_sec,status,error
1772756045,llmlingua,musique,0.3,100,0.14,0.20244444444444443,73.124,ok,
1772756048,llmlingua,musique,0.5,100,0.27,0.37538095238095237,76.699,ok,
1772756052,llmlingua,musique,0.9,100,0.41,0.5389047619047619,80.646,ok,
1772756055,llmlingua,musique,0.7,100,0.41,0.5353095238095238,83.684,ok,
1772756111,llmlingua,musique,0.1,100,0.02,0.07559125755565384,65.969,ok,
1772756114,llmlingua,hotpotqa,0.5,100,0.39,0.539063492063492,58.633,ok,
1772756122,llmlingua,hotpotqa,0.7,100,0.48,0.652,69.768,ok,
1772756123,llmlingua,hotpotqa,0.9,100,0.52,0.7001778711484594,74.706,ok,
1772756168,llmlingua,hotpotqa,0.3,100,0.29,0.4287216117216117,57.582,ok,
1772756172,llmlingua,hotpotqa,0.1,100,0.14,0.2146430681165388,57.752,ok,
1772756178,llmlingua,2wikimultihopqa,0.7,100,0.45,0.5215238095238095,54.723,ok,
1772756183,llmlingua,2wikimultihopqa,0.9,100,0.5,0.6023809523809525,61.159,ok,
1772756225,llmlingua,2wikimultihopqa,0.5,100,0.35,0.39687179487179486,56.519,ok,
1772756228,llmlingua,2wikimultihopqa,0.3,100,0.25,0.30163636363636365,56.093,ok,
1772756235,llmlingua,2wikimultihopqa,0.1,100,0.13,0.1861395797185271,57.455,ok,
1772756634,abstractive,musique,0.9,100,0.54,0.6922619047619049,450.587,ok,
1772756678,abstractive,musique,0.3,100,0.52,0.7020952380952381,442.196,ok,
1772756685,abstractive,musique,0.7,100,0.56,0.7054444444444445,460.395,ok,
1772756747,abstractive,musique,0.5,100,0.5,0.7297698412698412,519.347,ok,
1772756892,abstractive,musique,0.1,100,0.59,0.7196785714285714,257.863,ok,
1772757231,abstractive,hotpotqa,0.9,100,0.55,0.7218207282913166,553.494,ok,
1772757265,abstractive,hotpotqa,0.7,100,0.56,0.7282069597069597,580.079,ok,
1772757327,abstractive,hotpotqa,0.5,100,0.56,0.7291298701298702,579.942,ok,
1772757333,abstractive,hotpotqa,0.3,100,0.55,0.7142492997198879,440.798,ok,
1772757458,abstractive,hotpotqa,0.1,100,0.55,0.733249299719888,227.072,ok,
1772757767,abstractive,2wikimultihopqa,0.5,100,0.57,0.6998809523809524,434.491,ok,
1772757773,abstractive,2wikimultihopqa,0.3,100,0.57,0.6997142857142857,314.686,ok,
1772757780,abstractive,2wikimultihopqa,0.9,100,0.54,0.6842698412698413,514.039,ok,
1772757814,abstractive,2wikimultihopqa,0.7,100,0.55,0.6877142857142857,486.759,ok,
1772757841,tfidf,musique,0.9,100,0.44,0.5658809523809524,67.818,ok,
1772757844,tfidf,musique,0.7,100,0.37,0.49412698412698414,64.147,ok,
1772757885,tfidf,musique,0.5,100,0.19,0.2878095238095238,71.187,ok,
1772757904,tfidf,musique,0.3,100,0.13,0.2080952380952381,63.497,ok,
1772757911,tfidf,musique,0.1,100,0.03,0.07483893557422969,67.086,ok,
1772757956,tfidf,hotpotqa,0.9,100,0.48,0.6759285714285714,70.416,ok,
1772757968,tfidf,hotpotqa,0.7,100,0.48,0.6340952380952382,64.342,ok,
1772757972,tfidf,hotpotqa,0.5,100,0.35,0.5088571428571429,60.959,ok,
1772757986,abstractive,2wikimultihopqa,0.1,100,0.56,0.7018506493506493,218.578,ok,
1772758027,tfidf,hotpotqa,0.3,100,0.24,0.37826750700280115,71.202,ok,
1772758028,tfidf,hotpotqa,0.1,100,0.06,0.13015943539219402,59.069,ok,
1772758033,tfidf,2wikimultihopqa,0.9,100,0.5,0.6016666666666667,61.375,ok,
1772758044,tfidf,2wikimultihopqa,0.7,100,0.43,0.5201904761904762,58.746,ok,
1772758081,tfidf,2wikimultihopqa,0.5,100,0.39,0.44285714285714284,54.154,ok,
1772758085,tfidf,2wikimultihopqa,0.3,100,0.25,0.31795354645354645,57.001,ok,
1772758093,tfidf,2wikimultihopqa,0.1,100,0.12,0.1741125541125541,59.871,ok,
